Date,Open,High,Low,Close,Volume
2019-01-02,150.00,150.72,148.71,149.54,146208322
2019-01-03,149.54,150.85,147.12,147.86,59427455
2019-01-04,147.86,148.91,145.37,146.30,97314625
2019-01-05,146.30,147.28,144.53,145.94,73072628
2019-01-08,145.94,146.36,143.70,144.51,84546919
2019-01-09,144.51,146.55,144.22,145.65,135840325
2019-01-10,145.65,145.80,144.82,145.05,51806345
2019-01-11,145.05,145.88,144.21,145.09,86814156
2019-01-12,145.09,147.39,144.97,146.62,144468884
2019-01-15,146.62,148.48,146.44,148.46,107025047
2019-01-16,148.46,149.03,146.25,147.17,119877999
2019-01-17,147.17,147.71,145.04,145.94,113168351
2019-01-18,145.94,146.88,143.80,145.20,130894251
2019-01-19,145.20,146.09,142.88,144.13,55022898
2019-01-22,144.13,146.18,142.95,145.66,105195105
2019-01-23,145.66,146.81,143.46,144.75,117411488
2019-01-24,144.75,146.39,144.54,145.69,121764074
2019-01-25,145.69,147.69,144.66,147.14,54597102
2019-01-26,147.14,148.80,145.89,147.88,144467469
2019-01-29,147.88,148.23,146.50,147.41,100597204
2019-01-30,147.41,148.04,144.96,145.82,115156833
2019-01-31,145.82,148.12,144.49,147.17,73248880
2019-02-01,147.17,148.30,146.43,147.68,124506966
2019-02-02,147.68,148.01,145.01,146.04,55805951
2019-02-05,146.04,147.49,145.13,146.61,91801075
2019-02-06,146.61,146.97,145.84,146.60,63908917
2019-02-07,146.60,148.51,145.49,147.21,149787245
2019-02-08,147.21,149.10,146.09,148.00,93939757
2019-02-09,148.00,148.11,147.20,148.07,121090402
2019-02-12,148.07,149.16,146.46,147.12,137216485
2019-02-13,147.12,147.86,146.17,147.29,61285863
2019-02-14,147.29,148.03,144.62,145.92,105583571
2019-02-15,145.92,146.38,144.26,144.33,133319694
2019-02-16,144.33,146.58,143.94,145.91,62287821
2019-02-19,145.91,146.66,143.85,145.30,144937271
2019-02-20,145.30,146.11,144.78,145.27,127184487
2019-02-21,145.27,145.67,143.80,144.07,128800114
2019-02-22,144.07,144.81,141.31,142.66,64707569
2019-02-23,142.66,142.85,142.33,142.47,52116683
2019-02-26,142.47,144.38,141.26,143.51,91915883
2019-02-27,143.51,144.80,141.26,142.58,57643045
2019-02-28,142.58,143.89,141.87,143.44,144277676
2019-03-01,143.44,143.66,140.58,141.99,125693882
2019-03-02,141.99,144.53,141.16,143.35,139651937
2019-03-05,143.35,144.51,141.96,142.24,52570712
2019-03-06,142.24,142.65,140.52,141.88,69495446
2019-03-07,141.88,143.46,141.44,142.52,89539796
