Date,Open,High,Low,Close,Volume
2019-01-02,250.00,252.03,246.90,248.17,145737716
2019-01-03,248.17,250.16,243.88,245.88,62929501
2019-01-04,245.88,248.95,245.25,246.84,95324432
2019-01-05,246.84,249.17,245.85,246.38,77632898
2019-01-08,246.38,248.75,246.35,248.49,78991250
2019-01-09,248.49,250.56,246.03,249.32,109278691
2019-01-10,249.32,249.89,246.40,248.33,96653479
2019-01-11,248.33,250.42,246.35,248.22,72529830
2019-01-12,248.22,249.76,246.20,247.90,118000884
2019-01-15,247.90,249.58,243.88,245.71,131964919
2019-01-16,245.71,249.24,244.09,247.40,57089615
2019-01-17,247.40,249.14,245.48,246.86,112396867
2019-01-18,246.86,250.62,245.30,248.60,73723725
2019-01-19,248.60,250.68,245.97,247.06,65465253
2019-01-22,247.06,249.99,246.00,247.56,139289098
2019-01-23,247.56,252.57,245.79,250.08,92695082
2019-01-24,250.08,250.61,246.49,248.07,114578726
2019-01-25,248.07,248.23,247.00,247.89,63207393
2019-01-26,247.89,248.43,245.04,246.87,98353420
2019-01-29,246.87,250.01,246.62,248.76,136018875
2019-01-30,248.76,250.32,246.61,248.40,124476404
2019-01-31,248.40,250.94,246.03,250.01,93286654
2019-02-01,250.01,250.98,249.01,249.78,128991781
2019-02-02,249.78,253.10,247.64,251.77,138771554
2019-02-05,251.77,254.43,249.38,253.80,110113839
2019-02-06,253.80,255.39,249.80,251.38,131058203
2019-02-07,251.38,254.18,249.58,251.77,59168092
2019-02-08,251.77,256.45,251.76,254.34,124731271
2019-02-09,254.34,255.76,250.20,252.11,136636061
2019-02-12,252.11,253.48,250.66,252.39,141357530
2019-02-13,252.39,254.84,249.52,250.69,99288177
2019-02-14,250.69,252.61,249.02,252.38,72597855
2019-02-15,252.38,253.19,251.81,252.32,80340506
2019-02-16,252.32,255.80,251.70,253.36,122021883
2019-02-19,253.36,256.37,252.03,253.84,105175327
2019-02-20,253.84,255.59,250.90,252.73,111304719
2019-02-21,252.73,254.46,250.49,253.77,129068200
2019-02-22,253.77,255.37,252.61,254.78,128856617
2019-02-23,254.78,258.64,254.69,256.31,65085634
2019-02-26,256.31,256.53,253.99,254.09,140568911
2019-02-27,254.09,255.67,252.25,253.80,62770702
2019-02-28,253.80,255.60,252.04,252.39,54393942
2019-03-01,252.39,254.55,250.87,251.57,143021827
2019-03-02,251.57,256.37,250.19,254.17,70218376
2019-03-05,254.17,254.55,252.03,253.34,85210728
2019-03-06,253.34,253.85,249.12,250.91,103937149
2019-03-07,250.91,253.55,249.29,251.14,105966483
2019-03-08,251.14,251.55,249.08,249.68,141004383
2019-03-09,249.68,250.51,246.94,249.16,96606299
2019-03-12,249.16,249.66,247.33,247.65,117302855
2019-03-13,247.65,250.73,245.44,249.40,84245446
2019-03-14,249.40,252.85,247.46,251.46,52804831
2019-03-15,251.46,251.63,249.32,251.55,137928118
2019-03-16,251.55,254.90,250.84,253.89,108890399
2019-03-19,253.89,256.41,252.01,252.06,146528328
2019-03-20,252.06,256.69,249.65,254.34,108102566
2019-03-21,254.34,254.78,253.22,253.32,55789341
2019-03-22,253.32,255.30,252.09,252.96,63717075
2019-03-23,252.96,255.01,249.86,250.95,142448309
2019-03-26,250.95,252.56,248.97,250.57,58235109
2019-03-27,250.57,250.82,249.25,250.04,115600620
2019-03-28,250.04,250.35,249.11,249.84,148544342
2019-03-29,249.84,250.87,246.56,248.44,113053811
2019-03-30,248.44,252.31,246.90,250.32,98380389
2019-04-02,250.32,254.22,248.64,252.42,61017287
2019-04-03,252.42,254.64,250.69,251.01,99000891
2019-04-04,251.01,251.82,249.68,249.81,83084548
2019-04-05,249.81,251.84,247.36,247.44,133807337
2019-04-06,247.44,250.00,246.52,249.44,144861895
2019-04-09,249.44,250.97,247.22,250.16,53048952
2019-04-10,250.16,252.04,249.94,251.52,104073746
2019-04-11,251.52,252.33,251.24,251.49,135500366
2019-04-12,251.49,254.51,250.90,253.36,50113740
2019-04-13,253.36,255.24,253.30,253.39,51904949
2019-04-16,253.39,256.66,253.27,254.89,82021617
2019-04-17,254.89,256.46,254.26,256.34,110878046
2019-04-18,256.34,260.62,255.74,258.94,122032083
2019-04-19,258.94,261.22,254.51,256.76,96967152
2019-04-20,256.76,260.49,255.51,258.97,69752083
2019-04-23,258.97,261.91,258.09,260.62,124480349
2019-04-24,260.62,264.40,259.15,263.11,78203256
2019-04-25,263.11,267.18,263.09,265.69,88294397
2019-04-26,265.69,266.70,263.78,266.66,76991414
2019-04-27,266.66,267.41,264.35,264.49,141835840
2019-04-30,264.49,268.94,263.38,266.45,80547699
2019-05-01,266.45,267.13,263.48,265.25,88341910
2019-05-02,265.25,265.82,264.89,265.43,79011884
2019-05-03,265.43,266.60,263.08,265.56,104780173
2019-05-04,265.56,267.26,263.05,265.67,118070170
2019-05-07,265.67,269.89,263.24,267.96,125084693
2019-05-08,267.96,272.54,267.89,270.09,67168638
2019-05-09,270.09,272.27,266.73,267.90,68874175
2019-05-10,267.90,270.05,266.03,267.22,97518286
2019-05-11,267.22,270.74,264.55,268.15,140121077
2019-05-14,268.15,270.70,266.34,270.17,132316485
2019-05-15,270.17,271.98,267.70,271.58,147802534
2019-05-16,271.58,272.56,269.95,271.59,137993575
2019-05-17,271.59,275.38,270.39,273.65,118062430
2019-05-18,273.65,274.50,270.99,273.44,140056947
2019-05-21,273.44,276.97,273.42,276.20,58278433
2019-05-22,276.20,278.41,274.22,277.08,57598791
2019-05-23,277.08,279.29,275.29,278.52,113909783
2019-05-24,278.52,280.82,276.87,280.23,123829460
2019-05-25,280.23,283.66,280.01,280.98,88163203
2019-05-28,280.98,282.36,276.41,279.10,104266047
2019-05-29,279.10,279.95,277.24,279.07,124792317
2019-05-30,279.07,283.59,277.91,281.33,97880576
2019-05-31,281.33,282.94,277.94,279.62,108521230
2019-06-01,279.62,283.36,277.52,280.95,50513447
2019-06-04,280.95,283.31,277.81,279.36,146459742
2019-06-05,279.36,280.02,278.17,279.35,148230214
2019-06-06,279.35,282.24,278.02,281.00,117788215
2019-06-07,281.00,281.50,279.37,279.38,91077486
2019-06-08,279.38,281.25,275.58,276.79,82663268
2019-06-11,276.79,277.77,276.47,276.51,62457219
2019-06-12,276.51,277.67,274.26,277.35,125370908
2019-06-13,277.35,280.13,275.76,277.59,135982795
2019-06-14,277.59,278.32,276.72,277.11,91593397
2019-06-15,277.11,279.28,276.60,278.43,127767403
2019-06-18,278.43,279.17,275.73,278.72,147875835
2019-06-19,278.72,279.22,275.08,276.52,61027273
2019-06-20,276.52,278.71,275.63,277.57,83808522
2019-06-21,277.57,277.69,272.69,275.00,138374689
2019-06-22,275.00,279.81,274.00,277.29,80094897
2019-06-25,277.29,277.54,274.35,275.30,119673073
2019-06-26,275.30,276.96,273.08,273.19,61500591
2019-06-27,273.19,274.73,271.36,271.85,71800381
